1,accidente-choque con lesionados
2,accidente-motociclista
3,accidente-choque sin lesionados
4,lesionado-atropellado
5,accidente-persona atrapada / desbarrancada
6,accidente-ciclista
7,sismo-choque con lesionados
8,accidente-volcadura
9,accidente-vehículo atrapado-varado
10,detención ciudadana-atropellado
11,cadáver-accidente automovilístico
12,accidente-vehiculo desbarrancado
13,cadáver-atropellado
14,accidente-choque con prensados
15,accidente-otros
16,detención ciudadana-accidente automovilístico
17,sismo-persona atropellada
18,mi ciudad-calle-incidente de tránsito
19,mi ciudad-taxi-incidente de tránsito
