"ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","PROM_OCUP","PRO_OCUP_C"
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",0,"Total de la Entidad",3.32,0.8
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",9998,"Localidades de una vivienda",3.75,1.23
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",9999,"Localidades de dos viviendas",3.37,1.06
9,"Ciudad de México",2,"Azcapotzalco",0,"Total del Municipio",3.21,0.77
9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco",3.21,0.77
9,"Ciudad de México",3,"Coyoacán",0,"Total del Municipio",3.2,0.7
9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán",3.2,0.7
9,"Ciudad de México",4,"Cuajimalpa de Morelos",0,"Total del Municipio",3.6,0.81
9,"Ciudad de México",4,"Cuajimalpa de Morelos",1,"Cuajimalpa de Morelos",3.55,0.79
9,"Ciudad de México",4,"Cuajimalpa de Morelos",10,"Cruz Blanca",3.79,1.2
9,"Ciudad de México",4,"Cuajimalpa de Morelos",20,"San Lorenzo Acopilco",3.93,0.99
9,"Ciudad de México",4,"Cuajimalpa de Morelos",50,"La Venta",3.92,1.01
9,"Ciudad de México",4,"Cuajimalpa de Morelos",54,"Puerto las Cruces (Monte las Cruces)",3.82,1.08
9,"Ciudad de México",4,"Cuajimalpa de Morelos",55,"Teopazulco",3.48,1.18
9,"Ciudad de México",4,"Cuajimalpa de Morelos",56,"Valle de las Monjas",3.38,1.2
9,"Ciudad de México",4,"Cuajimalpa de Morelos",57,"Prolongación Constitución",4.09,1.39
9,"Ciudad de México",4,"Cuajimalpa de Morelos",58,"Paraje Río Borracho",3.81,0.99
9,"Ciudad de México",4,"Cuajimalpa de Morelos",59,"El Zarco",2.67,0.75
9,"Ciudad de México",4,"Cuajimalpa de Morelos",60,"La Bolsa (El Encinal)","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",62,"Los Campesinos [Rancho]",5.8,1.45
9,"Ciudad de México",4,"Cuajimalpa de Morelos",63,"Santa Rosa",4.01,1.36
9,"Ciudad de México",4,"Cuajimalpa de Morelos",64,"Paraje Cerro de los Padres","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",66,"Santa Laura [Rancho]",2.71,0.45
9,"Ciudad de México",4,"Cuajimalpa de Morelos",67,"La Papa [Escuela Niños Héroes]","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",70,"Punta Galicia",3.68,1.08
9,"Ciudad de México",4,"Cuajimalpa de Morelos",71,"Cola de Pato","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",73,"Los Aguacates",3.98,1.27
9,"Ciudad de México",4,"Cuajimalpa de Morelos",74,"Punta Ahuatenco",4.02,1.32
9,"Ciudad de México",4,"Cuajimalpa de Morelos",75,"Los Laureles [Rancho]","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",77,"Coatzehuaya",5.6,2
9,"Ciudad de México",4,"Cuajimalpa de Morelos",78,"La Loma","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",79,"Llanito Redondo","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",9998,"Localidades de una vivienda",5.5,1.8
9,"Ciudad de México",4,"Cuajimalpa de Morelos",9999,"Localidades de dos viviendas",3.5,1.5
9,"Ciudad de México",5,"Gustavo A. Madero",0,"Total del Municipio",3.42,0.83
9,"Ciudad de México",5,"Gustavo A. Madero",1,"Gustavo A. Madero",3.42,0.83
9,"Ciudad de México",6,"Iztacalco",0,"Total del Municipio",3.43,0.82
9,"Ciudad de México",6,"Iztacalco",1,"Iztacalco",3.43,0.82
9,"Ciudad de México",7,"Iztapalapa",0,"Total del Municipio",3.61,0.92
9,"Ciudad de México",7,"Iztapalapa",1,"Iztapalapa",3.61,0.92
9,"Ciudad de México",8,"La Magdalena Contreras",0,"Total del Municipio",3.62,0.87
9,"Ciudad de México",8,"La Magdalena Contreras",1,"La Magdalena Contreras",3.62,0.86
9,"Ciudad de México",8,"La Magdalena Contreras",71,"Ejido de San Nicolás Totolapan",2.5,0.7
