"ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","P_15A19_F","P_15A19_M","P_20A24_F","P_20A24_M","P_25A29_F","P_25A29_M"
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",0,"Total de la Entidad",319280,331109,355556,359049,380208,372081
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",9998,"Localidades de una vivienda",10,21,12,11,12,16
9,"Ciudad de México",0,"Total de la entidad Ciudad de México",9999,"Localidades de dos viviendas",14,14,12,10,14,11
9,"Ciudad de México",2,"Azcapotzalco",0,"Total del Municipio",13711,14272,15561,15895,17506,16899
9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco",13711,14272,15561,15895,17506,16899
9,"Ciudad de México",3,"Coyoacán",0,"Total del Municipio",19308,20091,23369,23667,23960,23879
9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán",19308,20091,23369,23667,23960,23879
9,"Ciudad de México",4,"Cuajimalpa de Morelos",0,"Total del Municipio",8334,8442,9464,8830,9718,8732
9,"Ciudad de México",4,"Cuajimalpa de Morelos",1,"Cuajimalpa de Morelos",7085,7108,8082,7472,8392,7410
9,"Ciudad de México",4,"Cuajimalpa de Morelos",10,"Cruz Blanca",27,28,32,40,45,31
9,"Ciudad de México",4,"Cuajimalpa de Morelos",20,"San Lorenzo Acopilco",1025,1092,1156,1121,1112,1089
9,"Ciudad de México",4,"Cuajimalpa de Morelos",50,"La Venta",19,21,25,16,21,25
9,"Ciudad de México",4,"Cuajimalpa de Morelos",54,"Puerto las Cruces (Monte las Cruces)",54,49,57,47,58,54
9,"Ciudad de México",4,"Cuajimalpa de Morelos",55,"Teopazulco",2,2,1,5,2,6
9,"Ciudad de México",4,"Cuajimalpa de Morelos",56,"Valle de las Monjas",1,4,7,8,6,6
9,"Ciudad de México",4,"Cuajimalpa de Morelos",57,"Prolongación Constitución",8,10,8,7,2,5
9,"Ciudad de México",4,"Cuajimalpa de Morelos",58,"Paraje Río Borracho",6,2,2,7,3,3
9,"Ciudad de México",4,"Cuajimalpa de Morelos",59,"El Zarco",1,0,3,2,2,2
9,"Ciudad de México",4,"Cuajimalpa de Morelos",60,"La Bolsa (El Encinal)","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",62,"Los Campesinos [Rancho]",2,2,1,1,2,1
9,"Ciudad de México",4,"Cuajimalpa de Morelos",63,"Santa Rosa",42,47,28,36,30,32
9,"Ciudad de México",4,"Cuajimalpa de Morelos",64,"Paraje Cerro de los Padres","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",66,"Santa Laura [Rancho]",1,1,2,2,0,5
9,"Ciudad de México",4,"Cuajimalpa de Morelos",67,"La Papa [Escuela Niños Héroes]","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",70,"Punta Galicia",17,27,21,29,25,31
9,"Ciudad de México",4,"Cuajimalpa de Morelos",71,"Cola de Pato","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",73,"Los Aguacates",28,30,29,28,13,24
9,"Ciudad de México",4,"Cuajimalpa de Morelos",74,"Punta Ahuatenco",13,16,5,7,2,7
9,"Ciudad de México",4,"Cuajimalpa de Morelos",75,"Los Laureles [Rancho]","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",77,"Coatzehuaya",1,0,2,1,0,0
9,"Ciudad de México",4,"Cuajimalpa de Morelos",78,"La Loma","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",79,"Llanito Redondo","*","*","*","*","*","*"
9,"Ciudad de México",4,"Cuajimalpa de Morelos",9998,"Localidades de una vivienda",0,0,1,0,2,1
9,"Ciudad de México",4,"Cuajimalpa de Morelos",9999,"Localidades de dos viviendas",2,3,2,1,1,0
9,"Ciudad de México",5,"Gustavo A. Madero",0,"Total del Municipio",41281,43052,44809,46768,45079,46369
9,"Ciudad de México",5,"Gustavo A. Madero",1,"Gustavo A. Madero",41281,43052,44809,46768,45079,46369
9,"Ciudad de México",6,"Iztacalco",0,"Total del Municipio",13495,14264,15293,15348,16154,15573
9,"Ciudad de México",6,"Iztacalco",1,"Iztacalco",13495,14264,15293,15348,16154,15573
9,"Ciudad de México",7,"Iztapalapa",0,"Total del Municipio",70085,73108,74912,75828,76092,75498
9,"Ciudad de México",7,"Iztapalapa",1,"Iztapalapa",70085,73108,74912,75828,76092,75498
9,"Ciudad de México",8,"La Magdalena Contreras",0,"Total del Municipio",9304,9585,9901,10068,10070,9763
9,"Ciudad de México",8,"La Magdalena Contreras",1,"La Magdalena Contreras",9261,9537,9847,10012,10011,9714
9,"Ciudad de México",8,"La Magdalena Contreras",71,"Ejido de San Nicolás Totolapan",0,0,1,1,0,1
