id_delegacion,id_sexo,id_rango_edad,poblacion
2,1,1,13711
2,2,1,14272
2,1,2,15561
2,2,2,15895
2,1,3,17506
2,2,3,16899
4,1,1,19308
4,2,1,20091
4,1,2,23369
4,2,2,23667
4,1,3,23960
4,2,3,23879
5,1,1,8334
5,2,1,8442
5,1,2,9464
5,2,2,8830
5,1,3,9718
5,2,3,8732
7,1,1,41281
7,2,1,43052
7,1,2,44809
7,2,2,46768
7,1,3,45079
7,2,3,46369
8,1,1,13495
8,2,1,14264
8,1,2,15293
8,2,2,15348
8,1,3,16154
8,2,3,15573
9,1,1,70085
9,2,1,73108
9,1,2,74912
9,2,2,75828
9,1,3,76092
9,2,3,75498
10,1,1,9304
10,2,1,9585
10,1,2,9901
10,2,2,10068
10,1,3,10070
10,2,3,9763
12,1,1,6468
12,2,1,6977
12,1,2,6643
12,2,2,6748
12,1,3,6646
12,2,3,6303
1,1,1,27247
1,2,1,27601
1,1,2,30073
1,2,2,29868
1,1,3,31159
1,2,3,29549
13,1,1,15738
13,2,1,16651
13,1,2,16610
13,2,2,16963
13,1,3,16937
13,2,3,16493
14,1,1,25919
14,2,1,27036
14,1,2,28401
14,2,2,29172
14,1,3,28601
14,2,3,27809
16,1,1,17223
16,2,1,17733
16,1,2,18340
16,2,2,18639
16,1,3,17952
16,2,3,18611
3,1,1,9407
3,2,1,9563
3,1,2,12760
3,2,2,12351
3,1,3,19331
3,2,3,17844
6,1,1,15628
6,2,1,16162
6,1,2,19252
6,2,2,19045
6,1,3,25150
6,2,3,25021
11,1,1,11257
11,2,1,11337
11,1,2,13788
11,2,2,13256
11,1,3,18160
11,2,3,16511
15,1,1,14875
15,2,1,15235
15,1,2,16380
15,2,2,16603
15,1,3,17693
15,2,3,17227
