id,subcat_sed,direccion,cve_delg,ubicacion,nombre,superficie,perimetro,categoria
0,1,Román Álvarez Moreno,2,,,6660.02755418,329.26473795,1
1,2,Avenida Canal deTezontle,8,,,2917.25783681,272.243614174,1
2,3,Canal Río Churubusco,8,,CAMELLON EJE 4 OTE. (RIO CHURUBUSCO),1086.30564576,425.043655518,2
3,4,CORTEZA,8,AV. GIRASOL ENTRE MAGUEY Y CUMBRE.,"PARQUE GIRASOL ""CENTRAL INFONAVIT"".",3605.70404646,269.209436459,1
4,4,El Lago,8,,,19619.3615774,798.409226667,1
5,5,Cruz del Sur,4,DE E. IZTAPALAPA A PASEO CANAL NACIONAL,CAMELLON AV. CRUZ DEL SUR,1187.69307083,419.012097243,1
6,2,63,8,,CIUDAD DEPORTIVA MAGDALENA MIXIHUCA,118007.516203,1640.1324631,1
7,3,Calle 11,4,,,79.6452348698,97.6876386145,2
8,6,Te,8,AV. RIO CHURUBUSCO ESQ. AV. TE.,PLAZA BENITO JUAREZ,15384.3009409,496.86464831,3
9,3,Playa Icacos,8,,CAMELLON EJE 2 OTE. (CALZ. DE LA VIGA),1954.1947411,285.512838578,2
10,5,,8,,,1537.43367528,184.809532193,1
11,2,Coyuya,8,,,307.288313697,84.7605547234,1
12,4,PASILLO C,8,,,486.511092729,98.0210070704,1
13,5,,9,,,359.395473151,181.639291396,1
14,4,Universidad,9,,,773.389620598,377.561831176,1
15,7,Guerra de Reforma,9,,,2796.43973024,1229.61407429,1
16,6,,4,AV. CANAL DE MIRAMONTES Y LAS BOMBAS,ALAMEDA SUR,1432.70288521,166.400282986,3
17,8,Ciprés,2,,,1547.7341124,251.806015391,4
18,6,,4,AV. CANAL DE MIRAMONTES Y LAS BOMBAS,ALAMEDA SUR,4277.71858956,291.318369857,3
19,5,Elisa Acuña Rosete,9,,,,,1
20,7,NINGUNO,4,,,556.219134182,186.637938939,1
21,7,NINGUNO,4,,,3892.08984332,421.268903238,1
22,3,Ciclopista,2,,CAMELLON ANTNIO VALERIANO,1661.00305153,299.237259586,2
23,9,Antonio Valeriano,2,,,144.761064338,68.7434558837,2
24,10,Virgilio Uribe,4,CAL. VIRGILIO URIBE,CAMELLON AV. VIRGILIO URIBE,1074.21175472,517.172956117,2
25,5,Tercera Privada Aquiles Serdan,2,,,1062.36963557,182.99417208,1
26,3,Agapando,4,AV. DALIAS,CAMELLON AV. DALIAS,176.10430259,121.928534238,2
27,5,,9,,,5326.74643785,1005.23804424,1
